As Of Date,PDPOSGST-TOT,PDPOSCS-TOT,PDPOSMBS-TOT,PDPOSFGS-TOT,PDPOSABS-TOT,PDPOSSMGO-TOT
2026-01-28,535390,3961,119378,22766,10659,12229
2026-02-04,487484,5573,124104,16416,10635,12170
2026-02-11,498718,5644,115813,16662,9087,13051
2026-02-18,516562,5820,115959,15399,9988,11501
2026-02-25,531105,2282,121103,16622,9715,11280
2026-03-04,511471,4039,126078,19297,9721,12150
2026-03-11,530523,9497,113731,16618,11077,13320
2026-03-18,540028,5983,136234,16497,11619,12521
2026-03-25,557087,4683,142708,18399,11519,12361
2026-04-01,539632,3410,139903,19008,11702,12059
2026-04-08,530718,8536,130761,15777,11936,15178
2026-04-15,546887,6453,131834,17704,10841,16325
2026-04-22,518390,6765,131993,17045,11306,16726
2026-04-29,507728,9019,127862,18515,11364,15256
2026-05-06,500420,12775,123557,16831,11315,13894
2026-05-13,487431,13286,120312,15820,11664,13224
2026-05-20,451696,11800,132082,17039,10912,14089
2026-05-27,516656,12602,132787,22755,10687,13040
2026-06-03,477881,13419,130145,20353,10712,15162
2026-06-10,498615,14232,119177,21882,11097,15961
2026-06-17,492413,13617,127948,22743,10533,16159
2026-06-24,515551,15815,121873,26450,9908,17696
2026-07-01,464081,8411,129768,21391,9783,13945
2026-07-08,482980,10818,126810,16875,9787,15959
2026-07-15,467223,11955,127613,19622,10267,15483
2026-07-22,461590,8807,130259,18102,10567,15158
2026-07-29,473171,8442,135157,21330,10396,13578
2026-08-05,460282,7210,137867,18902,11039,13674
2026-08-12,444670,12525,132122,15427,11205,14881
2026-08-19,436406,13543,131171,19137,11444,13456
2026-08-26,477607,8843,126895,17274,10981,13608
